iter=21 n_episodes=604 episode_len=124 total_reward=-65.4160639813881
iter=243 n_episodes=605 episode_len=222 total_reward=-115.61206195962073
iter=1243 n_episodes=606 episode_len=1000 total_reward=-420.8429045163284
iter=2243 n_episodes=607 episode_len=1000 total_reward=-323.28351160859165
iter=3243 n_episodes=608 episode_len=1000 total_reward=-242.71073948083315
iter=4243 n_episodes=609 episode_len=1000 total_reward=-176.5347155160952
iter=4359 n_episodes=610 episode_len=116 total_reward=-13.455414757339186
iter=4379 n_episodes=611 episode_len=20 total_reward=4.15489542129049
iter=5108 n_episodes=612 episode_len=729 total_reward=-94.36525013842078
iter=6108 n_episodes=613 episode_len=1000 total_reward=-58.84675153582952
iter=6334 n_episodes=614 episode_len=226 total_reward=95.7441129784003
iter=7334 n_episodes=615 episode_len=1000 total_reward=-53.27734109495949
iter=8334 n_episodes=616 episode_len=1000 total_reward=322.1055551279766
iter=9334 n_episodes=617 episode_len=1000 total_reward=196.42838110741658
iter=10334 n_episodes=618 episode_len=1000 total_reward=30.46288324143039
iter=10921 n_episodes=619 episode_len=587 total_reward=85.59262528096879
iter=11921 n_episodes=620 episode_len=1000 total_reward=177.35554893323723
iter=12921 n_episodes=621 episode_len=1000 total_reward=-9.550808045059354
iter=13921 n_episodes=622 episode_len=1000 total_reward=100.94312656644769
iter=14921 n_episodes=623 episode_len=1000 total_reward=42.22332869781652
iter=15921 n_episodes=624 episode_len=1000 total_reward=-119.5288508216463
iter=16921 n_episodes=625 episode_len=1000 total_reward=42.15361863538424
iter=17921 n_episodes=626 episode_len=1000 total_reward=-117.54385343891448
iter=17953 n_episodes=627 episode_len=32 total_reward=21.09135798557073
iter=18953 n_episodes=628 episode_len=1000 total_reward=60.336001999386
iter=19953 n_episodes=629 episode_len=1000 total_reward=153.38081715791623
iter=20953 n_episodes=630 episode_len=1000 total_reward=55.66897478263592
iter=21953 n_episodes=631 episode_len=1000 total_reward=11.8775858248854
iter=22953 n_episodes=632 episode_len=1000 total_reward=21.211533763894586
iter=23953 n_episodes=633 episode_len=1000 total_reward=143.15243409013112
iter=24953 n_episodes=634 episode_len=1000 total_reward=187.7322813408389
iter=25953 n_episodes=635 episode_len=1000 total_reward=568.4629230563936
iter=26953 n_episodes=636 episode_len=1000 total_reward=46.68078102768936
iter=27953 n_episodes=637 episode_len=1000 total_reward=35.02223720190226
iter=28091 n_episodes=638 episode_len=138 total_reward=89.91233009574242
iter=29091 n_episodes=639 episode_len=1000 total_reward=58.90957684587372
iter=30091 n_episodes=640 episode_len=1000 total_reward=359.4742355426325
iter=30512 n_episodes=641 episode_len=421 total_reward=102.85600570114302
iter=30856 n_episodes=642 episode_len=344 total_reward=275.99171720688287
iter=31696 n_episodes=643 episode_len=840 total_reward=492.35953198604295
iter=32696 n_episodes=644 episode_len=1000 total_reward=175.53627250751703
iter=32867 n_episodes=645 episode_len=171 total_reward=137.72982738574746
iter=33867 n_episodes=646 episode_len=1000 total_reward=-11.658134501231485
iter=34867 n_episodes=647 episode_len=1000 total_reward=-14.565823647185145
iter=35867 n_episodes=648 episode_len=1000 total_reward=288.33574980706567
iter=36504 n_episodes=649 episode_len=637 total_reward=343.97873902282544
iter=37504 n_episodes=650 episode_len=1000 total_reward=37.19127610354958
iter=38504 n_episodes=651 episode_len=1000 total_reward=38.199023914954424
iter=38650 n_episodes=652 episode_len=146 total_reward=122.63788688897301
iter=39650 n_episodes=653 episode_len=1000 total_reward=209.01961528344015
iter=39758 n_episodes=654 episode_len=108 total_reward=98.78679614396911
iter=40758 n_episodes=655 episode_len=1000 total_reward=-30.06400399622097
iter=41758 n_episodes=656 episode_len=1000 total_reward=-46.31485996866816
iter=42758 n_episodes=657 episode_len=1000 total_reward=145.4855930400533
iter=42876 n_episodes=658 episode_len=118 total_reward=98.28684661611304
iter=43876 n_episodes=659 episode_len=1000 total_reward=95.47116077321921
iter=44060 n_episodes=660 episode_len=184 total_reward=132.14756927090386
iter=44087 n_episodes=661 episode_len=27 total_reward=2.2388140381231305
iter=45087 n_episodes=662 episode_len=1000 total_reward=-40.30096578325208
iter=46087 n_episodes=663 episode_len=1000 total_reward=418.6636272820659
iter=47087 n_episodes=664 episode_len=1000 total_reward=-23.42389114795887
iter=47721 n_episodes=665 episode_len=634 total_reward=548.773770397653
iter=48721 n_episodes=666 episode_len=1000 total_reward=58.54268800120569
iter=49721 n_episodes=667 episode_len=1000 total_reward=239.13935446692054
iter=49998 n_episodes=668 episode_len=277 total_reward=260.15381958090416
iter=50126 n_episodes=669 episode_len=128 total_reward=125.07517872991536
iter=50151 n_episodes=670 episode_len=25 total_reward=12.379370254984483
iter=51151 n_episodes=671 episode_len=1000 total_reward=148.12853760850425
iter=52151 n_episodes=672 episode_len=1000 total_reward=152.93929697508352
iter=53151 n_episodes=673 episode_len=1000 total_reward=187.88550815352625
iter=54151 n_episodes=674 episode_len=1000 total_reward=632.1142623368294
iter=55151 n_episodes=675 episode_len=1000 total_reward=-22.922593660739047
iter=56151 n_episodes=676 episode_len=1000 total_reward=40.60817905648524
iter=57151 n_episodes=677 episode_len=1000 total_reward=323.60992137107763
iter=58151 n_episodes=678 episode_len=1000 total_reward=689.1789314077532
iter=59151 n_episodes=679 episode_len=1000 total_reward=342.2481143804554
iter=59176 n_episodes=680 episode_len=25 total_reward=20.34197968506799
iter=60176 n_episodes=681 episode_len=1000 total_reward=408.18227781680116
iter=61176 n_episodes=682 episode_len=1000 total_reward=132.29008644695017
iter=62176 n_episodes=683 episode_len=1000 total_reward=189.22252450692463
iter=63176 n_episodes=684 episode_len=1000 total_reward=73.64448717816015
iter=64176 n_episodes=685 episode_len=1000 total_reward=13.473462892831293
iter=65176 n_episodes=686 episode_len=1000 total_reward=49.62632954294145
iter=66176 n_episodes=687 episode_len=1000 total_reward=360.3998868616245
iter=66351 n_episodes=688 episode_len=175 total_reward=188.67975470294763
iter=67351 n_episodes=689 episode_len=1000 total_reward=36.59516093653267
iter=68351 n_episodes=690 episode_len=1000 total_reward=269.7478939243073
iter=69351 n_episodes=691 episode_len=1000 total_reward=199.78211113004937
iter=70351 n_episodes=692 episode_len=1000 total_reward=127.65152134824082
iter=70673 n_episodes=693 episode_len=322 total_reward=170.1307647842973
iter=71673 n_episodes=694 episode_len=1000 total_reward=253.58000039618057
iter=71695 n_episodes=695 episode_len=22 total_reward=8.354854039331341
iter=72695 n_episodes=696 episode_len=1000 total_reward=526.2562600552228
iter=73695 n_episodes=697 episode_len=1000 total_reward=183.16483478858228
iter=73970 n_episodes=698 episode_len=275 total_reward=220.90187928497755
iter=74970 n_episodes=699 episode_len=1000 total_reward=123.3438519575659
iter=75970 n_episodes=700 episode_len=1000 total_reward=392.5881143601574
iter=76731 n_episodes=701 episode_len=761 total_reward=766.0431828233155
iter=76944 n_episodes=702 episode_len=213 total_reward=234.51636547000422
iter=77944 n_episodes=703 episode_len=1000 total_reward=267.070145293621
iter=78944 n_episodes=704 episode_len=1000 total_reward=202.05156976401983
iter=78965 n_episodes=705 episode_len=21 total_reward=17.71856991527481
iter=79965 n_episodes=706 episode_len=1000 total_reward=194.29920535166815
iter=80965 n_episodes=707 episode_len=1000 total_reward=117.7157894811584
iter=81965 n_episodes=708 episode_len=1000 total_reward=510.4893850686742
iter=82965 n_episodes=709 episode_len=1000 total_reward=474.16086270430606
iter=83965 n_episodes=710 episode_len=1000 total_reward=154.40522882277236
iter=84965 n_episodes=711 episode_len=1000 total_reward=273.1045478076546
iter=85965 n_episodes=712 episode_len=1000 total_reward=173.38667231112842
iter=86407 n_episodes=713 episode_len=442 total_reward=493.98153074653055
iter=87407 n_episodes=714 episode_len=1000 total_reward=103.12227389299403
iter=88407 n_episodes=715 episode_len=1000 total_reward=148.2196014727798
iter=89407 n_episodes=716 episode_len=1000 total_reward=873.9968781310843
iter=90407 n_episodes=717 episode_len=1000 total_reward=155.34081264675095
iter=90539 n_episodes=718 episode_len=132 total_reward=73.98068962846277
iter=91539 n_episodes=719 episode_len=1000 total_reward=351.7188711391181
iter=92539 n_episodes=720 episode_len=1000 total_reward=162.71520473422473
iter=92928 n_episodes=721 episode_len=389 total_reward=362.1313553733743
iter=93928 n_episodes=722 episode_len=1000 total_reward=106.10652287446086
iter=94928 n_episodes=723 episode_len=1000 total_reward=602.3622356963859
iter=95928 n_episodes=724 episode_len=1000 total_reward=775.7591352954845
iter=96928 n_episodes=725 episode_len=1000 total_reward=829.7976431495447
iter=97284 n_episodes=726 episode_len=356 total_reward=309.4179961191223
iter=97594 n_episodes=727 episode_len=310 total_reward=325.42217175995665
iter=98594 n_episodes=728 episode_len=1000 total_reward=228.39117970336645
iter=99594 n_episodes=729 episode_len=1000 total_reward=391.765815567927
iter=100594 n_episodes=730 episode_len=1000 total_reward=335.27613925883765
iter=101594 n_episodes=731 episode_len=1000 total_reward=352.07296104201157
iter=102594 n_episodes=732 episode_len=1000 total_reward=287.7204527445892
iter=103594 n_episodes=733 episode_len=1000 total_reward=344.9978347954752
iter=104594 n_episodes=734 episode_len=1000 total_reward=440.69002259362435
iter=104713 n_episodes=735 episode_len=119 total_reward=125.35626547926732
iter=104731 n_episodes=736 episode_len=18 total_reward=20.147244415706606
iter=105731 n_episodes=737 episode_len=1000 total_reward=196.6973294330988
iter=106731 n_episodes=738 episode_len=1000 total_reward=65.3865494993437
iter=107731 n_episodes=739 episode_len=1000 total_reward=87.70181506390203
iter=108731 n_episodes=740 episode_len=1000 total_reward=401.868459401609
iter=109731 n_episodes=741 episode_len=1000 total_reward=333.4169476777747
iter=110731 n_episodes=742 episode_len=1000 total_reward=756.838668844312
iter=110770 n_episodes=743 episode_len=39 total_reward=31.801094065646712
iter=111770 n_episodes=744 episode_len=1000 total_reward=229.6498456304014
