iter=6 n_episodes=449 episode_len=16 total_reward=12.045763574428312
iter=51 n_episodes=450 episode_len=45 total_reward=53.25418282831364
iter=91 n_episodes=451 episode_len=40 total_reward=31.714366674924317
iter=131 n_episodes=452 episode_len=40 total_reward=18.52035269492509
iter=188 n_episodes=453 episode_len=57 total_reward=87.23924249098714
iter=225 n_episodes=454 episode_len=37 total_reward=23.607323198094708
iter=283 n_episodes=455 episode_len=58 total_reward=106.33853531137893
iter=429 n_episodes=456 episode_len=146 total_reward=164.0878226263859
iter=462 n_episodes=457 episode_len=33 total_reward=53.78055264050223
iter=509 n_episodes=458 episode_len=47 total_reward=77.14792220908586
iter=560 n_episodes=459 episode_len=51 total_reward=76.22257767569778
iter=601 n_episodes=460 episode_len=41 total_reward=65.72683421907222
iter=649 n_episodes=461 episode_len=48 total_reward=76.72746010987862
iter=688 n_episodes=462 episode_len=39 total_reward=63.310527721141966
iter=719 n_episodes=463 episode_len=31 total_reward=51.81664814717224
iter=751 n_episodes=464 episode_len=32 total_reward=52.9789498423114
iter=784 n_episodes=465 episode_len=33 total_reward=56.10562943965772
iter=822 n_episodes=466 episode_len=38 total_reward=62.17815974937738
iter=857 n_episodes=467 episode_len=35 total_reward=58.27209981747521
iter=886 n_episodes=468 episode_len=29 total_reward=48.09148201322675
iter=921 n_episodes=469 episode_len=35 total_reward=57.64159713609804
iter=957 n_episodes=470 episode_len=36 total_reward=58.77437472532104
iter=996 n_episodes=471 episode_len=39 total_reward=64.58057460964842
iter=1029 n_episodes=472 episode_len=33 total_reward=54.222666232322524
iter=1056 n_episodes=473 episode_len=27 total_reward=45.21927378219882
iter=1088 n_episodes=474 episode_len=32 total_reward=54.11969213962704
iter=1119 n_episodes=475 episode_len=31 total_reward=50.932278185434754
iter=1164 n_episodes=476 episode_len=45 total_reward=75.31229670918124
iter=1194 n_episodes=477 episode_len=30 total_reward=49.868329545473166
iter=1221 n_episodes=478 episode_len=27 total_reward=45.181894875303946
iter=1251 n_episodes=479 episode_len=30 total_reward=50.18861860714996
iter=1284 n_episodes=480 episode_len=33 total_reward=56.51269515708858
iter=1328 n_episodes=481 episode_len=44 total_reward=78.00486954436427
iter=1415 n_episodes=482 episode_len=87 total_reward=186.23097041741613
iter=1485 n_episodes=483 episode_len=70 total_reward=139.07943662911876
iter=1558 n_episodes=484 episode_len=73 total_reward=138.52275873175697
iter=1630 n_episodes=485 episode_len=72 total_reward=135.37717237884738
iter=1698 n_episodes=486 episode_len=68 total_reward=127.07173641100417
iter=1779 n_episodes=487 episode_len=81 total_reward=169.8494247062468
iter=1841 n_episodes=488 episode_len=62 total_reward=110.3384871153351
iter=1912 n_episodes=489 episode_len=71 total_reward=131.50370583428207
iter=1979 n_episodes=490 episode_len=67 total_reward=120.95590541268213
iter=2047 n_episodes=491 episode_len=68 total_reward=119.29604859756546
iter=2127 n_episodes=492 episode_len=80 total_reward=151.2999364118117
iter=2222 n_episodes=493 episode_len=95 total_reward=195.53919598387606
iter=2314 n_episodes=494 episode_len=92 total_reward=169.58339954445336
iter=2407 n_episodes=495 episode_len=93 total_reward=192.71286876425012
iter=2506 n_episodes=496 episode_len=99 total_reward=223.71273130331198
iter=2604 n_episodes=497 episode_len=98 total_reward=201.8362606177702
iter=2718 n_episodes=498 episode_len=114 total_reward=253.65362359375638
iter=2831 n_episodes=499 episode_len=113 total_reward=256.13091164420575
iter=2941 n_episodes=500 episode_len=110 total_reward=247.57122997903858
iter=3055 n_episodes=501 episode_len=114 total_reward=269.09882980713303
iter=3160 n_episodes=502 episode_len=105 total_reward=232.94774266036808
iter=3278 n_episodes=503 episode_len=118 total_reward=283.6072896481779
iter=3382 n_episodes=504 episode_len=104 total_reward=234.99275596586648
iter=3489 n_episodes=505 episode_len=107 total_reward=248.64711907283072
iter=3596 n_episodes=506 episode_len=107 total_reward=235.50998396469618
iter=3705 n_episodes=507 episode_len=109 total_reward=249.6947718144804
iter=3838 n_episodes=508 episode_len=133 total_reward=279.45068186322044
iter=3955 n_episodes=509 episode_len=117 total_reward=274.71409998124386
iter=4082 n_episodes=510 episode_len=127 total_reward=281.18248837731795
iter=4206 n_episodes=511 episode_len=124 total_reward=274.10822633282885
iter=4332 n_episodes=512 episode_len=126 total_reward=284.5075080891064
iter=4461 n_episodes=513 episode_len=129 total_reward=293.2579435097274
iter=4583 n_episodes=514 episode_len=122 total_reward=298.1918451008294
iter=4705 n_episodes=515 episode_len=122 total_reward=282.96030105535914
iter=4831 n_episodes=516 episode_len=126 total_reward=289.7290671480209
iter=4959 n_episodes=517 episode_len=128 total_reward=302.941820847009
iter=5093 n_episodes=518 episode_len=134 total_reward=303.6024888961576
iter=5223 n_episodes=519 episode_len=130 total_reward=304.3366113439982
iter=5344 n_episodes=520 episode_len=121 total_reward=302.46027968174656
iter=5491 n_episodes=521 episode_len=147 total_reward=341.7309815962575
iter=5647 n_episodes=522 episode_len=156 total_reward=351.5732085957022
iter=5772 n_episodes=523 episode_len=125 total_reward=299.20172844394693
iter=5907 n_episodes=524 episode_len=135 total_reward=308.9861330378878
iter=6049 n_episodes=525 episode_len=142 total_reward=333.65019190873466
iter=6198 n_episodes=526 episode_len=149 total_reward=323.76102005014104
iter=6322 n_episodes=527 episode_len=124 total_reward=283.01092299752486
iter=6486 n_episodes=528 episode_len=164 total_reward=338.16531363588734
iter=6605 n_episodes=529 episode_len=119 total_reward=280.8123028927534
iter=6759 n_episodes=530 episode_len=154 total_reward=326.61532495709884
iter=6899 n_episodes=531 episode_len=140 total_reward=312.12698671567637
iter=7021 n_episodes=532 episode_len=122 total_reward=286.6427822169433
iter=7146 n_episodes=533 episode_len=125 total_reward=285.12479066819253
iter=7303 n_episodes=534 episode_len=157 total_reward=324.05070043724226
iter=7441 n_episodes=535 episode_len=138 total_reward=296.26000035151884
iter=7576 n_episodes=536 episode_len=135 total_reward=300.213959051359
iter=7702 n_episodes=537 episode_len=126 total_reward=272.4054676904772
iter=7823 n_episodes=538 episode_len=121 total_reward=269.4188152194926
iter=7964 n_episodes=539 episode_len=141 total_reward=298.7868205399093
iter=8104 n_episodes=540 episode_len=140 total_reward=302.21617806949337
iter=8242 n_episodes=541 episode_len=138 total_reward=301.87103118731073
iter=8370 n_episodes=542 episode_len=128 total_reward=314.4077865749489
iter=8516 n_episodes=543 episode_len=146 total_reward=346.7481101814124
iter=8663 n_episodes=544 episode_len=147 total_reward=318.4131947430732
iter=8810 n_episodes=545 episode_len=147 total_reward=329.1705166399377
iter=8948 n_episodes=546 episode_len=138 total_reward=309.8720775722736
iter=9085 n_episodes=547 episode_len=137 total_reward=315.12881283919984
iter=9214 n_episodes=548 episode_len=129 total_reward=301.48307568798157
iter=9352 n_episodes=549 episode_len=138 total_reward=307.34684149861755
iter=9474 n_episodes=550 episode_len=122 total_reward=285.5533394225456
iter=9602 n_episodes=551 episode_len=128 total_reward=298.32959951407645
iter=9723 n_episodes=552 episode_len=121 total_reward=267.13447994019447
iter=9852 n_episodes=553 episode_len=129 total_reward=310.5398963424745
iter=9997 n_episodes=554 episode_len=145 total_reward=333.9573345685841
iter=10131 n_episodes=555 episode_len=134 total_reward=319.8638299269544
iter=10272 n_episodes=556 episode_len=141 total_reward=324.84955879680916
iter=10392 n_episodes=557 episode_len=120 total_reward=284.1554966190047
iter=10520 n_episodes=558 episode_len=128 total_reward=307.504415363551
iter=10658 n_episodes=559 episode_len=138 total_reward=318.3706982476148
iter=10795 n_episodes=560 episode_len=137 total_reward=311.12609637102605
iter=10926 n_episodes=561 episode_len=131 total_reward=301.148593295057
iter=11047 n_episodes=562 episode_len=121 total_reward=287.29688203564496
iter=11178 n_episodes=563 episode_len=131 total_reward=318.1433920015979
iter=11307 n_episodes=564 episode_len=129 total_reward=301.6768397533292
iter=11435 n_episodes=565 episode_len=128 total_reward=308.4601615134726
iter=11568 n_episodes=566 episode_len=133 total_reward=311.1879750543704
iter=11673 n_episodes=567 episode_len=105 total_reward=239.86133621129022
iter=11809 n_episodes=568 episode_len=136 total_reward=320.14144093425335
iter=11925 n_episodes=569 episode_len=116 total_reward=261.2955055875015
iter=12059 n_episodes=570 episode_len=134 total_reward=317.32874534749084
iter=12192 n_episodes=571 episode_len=133 total_reward=305.7132181489134
iter=12299 n_episodes=572 episode_len=107 total_reward=250.66128249699355
iter=12431 n_episodes=573 episode_len=132 total_reward=307.88075283914856
iter=12562 n_episodes=574 episode_len=131 total_reward=313.9529103312169
iter=12668 n_episodes=575 episode_len=106 total_reward=247.88647626280215
iter=12802 n_episodes=576 episode_len=134 total_reward=318.4315167633263
