iter=16 n_episodes=418 episode_len=38 total_reward=181.3967417697607
iter=32 n_episodes=419 episode_len=16 total_reward=76.79703000453927
iter=52 n_episodes=420 episode_len=20 total_reward=95.06168860721249
iter=73 n_episodes=421 episode_len=21 total_reward=106.15875580183548
iter=91 n_episodes=422 episode_len=18 total_reward=89.13504671234189
iter=138 n_episodes=423 episode_len=47 total_reward=224.68445825659424
iter=160 n_episodes=424 episode_len=22 total_reward=109.77754378494919
iter=180 n_episodes=425 episode_len=20 total_reward=98.4508616659139
iter=207 n_episodes=426 episode_len=27 total_reward=139.04174167624348
iter=225 n_episodes=427 episode_len=18 total_reward=88.49964439357751
iter=246 n_episodes=428 episode_len=21 total_reward=104.85824660891296
iter=282 n_episodes=429 episode_len=36 total_reward=179.17711106497026
iter=321 n_episodes=430 episode_len=39 total_reward=195.11600458617235
iter=353 n_episodes=431 episode_len=32 total_reward=167.18019940149418
iter=394 n_episodes=432 episode_len=41 total_reward=196.75286464939492
iter=428 n_episodes=433 episode_len=34 total_reward=173.42526175155137
iter=461 n_episodes=434 episode_len=33 total_reward=174.8204582365632
iter=478 n_episodes=435 episode_len=17 total_reward=83.01774522937177
iter=498 n_episodes=436 episode_len=20 total_reward=99.78497865747934
iter=518 n_episodes=437 episode_len=20 total_reward=101.55955529489057
iter=543 n_episodes=438 episode_len=25 total_reward=131.15089607190404
iter=565 n_episodes=439 episode_len=22 total_reward=112.53162168028022
iter=583 n_episodes=440 episode_len=18 total_reward=89.22926343178796
iter=602 n_episodes=441 episode_len=19 total_reward=95.69307316088438
iter=620 n_episodes=442 episode_len=18 total_reward=89.21587703315956
iter=666 n_episodes=443 episode_len=46 total_reward=237.9091345639337
iter=684 n_episodes=444 episode_len=18 total_reward=88.21070609171238
iter=711 n_episodes=445 episode_len=27 total_reward=130.66954603709877
iter=731 n_episodes=446 episode_len=20 total_reward=101.17144812276945
iter=773 n_episodes=447 episode_len=42 total_reward=214.05615800451113
iter=800 n_episodes=448 episode_len=27 total_reward=138.8815178895039
iter=829 n_episodes=449 episode_len=29 total_reward=150.49955391157897
iter=866 n_episodes=450 episode_len=37 total_reward=189.83820847261708
iter=902 n_episodes=451 episode_len=36 total_reward=183.69374324529443
iter=923 n_episodes=452 episode_len=21 total_reward=106.44787049593789
iter=941 n_episodes=453 episode_len=18 total_reward=88.78263491159775
iter=959 n_episodes=454 episode_len=18 total_reward=88.18543588608793
iter=982 n_episodes=455 episode_len=23 total_reward=118.71650228941431
iter=1001 n_episodes=456 episode_len=19 total_reward=94.29026476304566
iter=1026 n_episodes=457 episode_len=25 total_reward=126.54998286443839
iter=1045 n_episodes=458 episode_len=19 total_reward=93.50458991749707
iter=1092 n_episodes=459 episode_len=47 total_reward=228.95002243329603
iter=1118 n_episodes=460 episode_len=26 total_reward=133.55202178733683
iter=1145 n_episodes=461 episode_len=27 total_reward=134.05589847155315
iter=1162 n_episodes=462 episode_len=17 total_reward=84.20242960708971
iter=1181 n_episodes=463 episode_len=19 total_reward=95.24406305463765
iter=1205 n_episodes=464 episode_len=24 total_reward=120.4434208762673
iter=1237 n_episodes=465 episode_len=32 total_reward=161.52978101738958
iter=1258 n_episodes=466 episode_len=21 total_reward=106.40324586210765
iter=1294 n_episodes=467 episode_len=36 total_reward=183.74877034877733
iter=1312 n_episodes=468 episode_len=18 total_reward=88.19237792091918
iter=1339 n_episodes=469 episode_len=27 total_reward=135.84784449760355
iter=1366 n_episodes=470 episode_len=27 total_reward=136.84520966168742
iter=1383 n_episodes=471 episode_len=17 total_reward=83.2651614741836
iter=1404 n_episodes=472 episode_len=21 total_reward=103.60838130257265
iter=1429 n_episodes=473 episode_len=25 total_reward=125.28849885580549
iter=1452 n_episodes=474 episode_len=23 total_reward=110.44400918946477
iter=1470 n_episodes=475 episode_len=18 total_reward=88.93983065422077
iter=1490 n_episodes=476 episode_len=20 total_reward=101.15732446478371
iter=1512 n_episodes=477 episode_len=22 total_reward=114.40024425177084
iter=1544 n_episodes=478 episode_len=32 total_reward=164.39659775485418
iter=1597 n_episodes=479 episode_len=53 total_reward=254.36541155942388
iter=1619 n_episodes=480 episode_len=22 total_reward=112.46586197312725
iter=1638 n_episodes=481 episode_len=19 total_reward=95.07447232354673
iter=1656 n_episodes=482 episode_len=18 total_reward=88.32103750976357
iter=1675 n_episodes=483 episode_len=19 total_reward=95.7374074453329
iter=1700 n_episodes=484 episode_len=25 total_reward=127.58553657185142
iter=1719 n_episodes=485 episode_len=19 total_reward=94.89787260150541
iter=1736 n_episodes=486 episode_len=17 total_reward=83.15980215761482
iter=1756 n_episodes=487 episode_len=20 total_reward=101.80716172865758
iter=1782 n_episodes=488 episode_len=26 total_reward=132.37034715699266
iter=1800 n_episodes=489 episode_len=18 total_reward=88.95798703681052
iter=1829 n_episodes=490 episode_len=29 total_reward=146.88602020398372
iter=1855 n_episodes=491 episode_len=26 total_reward=132.59888590169825
iter=1888 n_episodes=492 episode_len=33 total_reward=166.48366560179
iter=1910 n_episodes=493 episode_len=22 total_reward=113.6042949778457
iter=1941 n_episodes=494 episode_len=31 total_reward=159.72118203361995
iter=1977 n_episodes=495 episode_len=36 total_reward=187.58583324499716
iter=1998 n_episodes=496 episode_len=21 total_reward=103.73793015347165
iter=2020 n_episodes=497 episode_len=22 total_reward=111.1647820019897
iter=2038 n_episodes=498 episode_len=18 total_reward=88.99696478546917
iter=2065 n_episodes=499 episode_len=27 total_reward=138.07433670700755
iter=2104 n_episodes=500 episode_len=39 total_reward=205.4412872648579
iter=2135 n_episodes=501 episode_len=31 total_reward=158.5349409945424
iter=2170 n_episodes=502 episode_len=35 total_reward=185.8796007642687
