iter=76 n_episodes=85 episode_len=93 total_reward=-444.41883975266603
iter=192 n_episodes=86 episode_len=116 total_reward=-195.10999811924302
iter=314 n_episodes=87 episode_len=122 total_reward=-30.197272465512896
iter=557 n_episodes=88 episode_len=243 total_reward=-242.99666256744374
iter=728 n_episodes=89 episode_len=171 total_reward=-227.48761040403275
iter=1728 n_episodes=90 episode_len=1000 total_reward=-46.09667994152423
iter=2499 n_episodes=91 episode_len=771 total_reward=176.97882947091287
iter=3499 n_episodes=92 episode_len=1000 total_reward=-86.80750349983741
iter=4499 n_episodes=93 episode_len=1000 total_reward=-75.33799694970281
iter=5499 n_episodes=94 episode_len=1000 total_reward=-128.81557323440603
iter=6499 n_episodes=95 episode_len=1000 total_reward=-148.01898714052038
iter=7499 n_episodes=96 episode_len=1000 total_reward=-128.48577137250788
iter=8499 n_episodes=97 episode_len=1000 total_reward=-58.04872098505594
iter=9499 n_episodes=98 episode_len=1000 total_reward=-90.52104090930176
iter=10499 n_episodes=99 episode_len=1000 total_reward=-49.05692100172985
iter=10992 n_episodes=100 episode_len=493 total_reward=231.85467796874806
iter=11436 n_episodes=101 episode_len=444 total_reward=255.2344313096091
iter=12002 n_episodes=102 episode_len=566 total_reward=209.07258415982412
iter=13002 n_episodes=103 episode_len=1000 total_reward=-25.12458469329635
iter=14002 n_episodes=104 episode_len=1000 total_reward=-36.69891551294325
iter=14830 n_episodes=105 episode_len=828 total_reward=-450.71384694146485
iter=15106 n_episodes=106 episode_len=276 total_reward=23.715596164580347
iter=15579 n_episodes=107 episode_len=473 total_reward=161.86229384501854
iter=15730 n_episodes=108 episode_len=151 total_reward=28.859088901880284
iter=15952 n_episodes=109 episode_len=222 total_reward=14.761038977310676
iter=16749 n_episodes=110 episode_len=797 total_reward=124.05640122891995
iter=17136 n_episodes=111 episode_len=387 total_reward=255.74146294364527
iter=18136 n_episodes=112 episode_len=1000 total_reward=-11.827735084778396
iter=18413 n_episodes=113 episode_len=277 total_reward=225.3054061177449
iter=18785 n_episodes=114 episode_len=372 total_reward=286.7245963321113
iter=19785 n_episodes=115 episode_len=1000 total_reward=-29.833400475469738
iter=20340 n_episodes=116 episode_len=555 total_reward=-168.5123130553472
iter=20626 n_episodes=117 episode_len=286 total_reward=278.1589049928988
iter=20819 n_episodes=118 episode_len=193 total_reward=268.4817156300277
iter=21039 n_episodes=119 episode_len=220 total_reward=249.40235830394178
iter=21817 n_episodes=120 episode_len=778 total_reward=146.2291995202391
iter=22120 n_episodes=121 episode_len=303 total_reward=228.90235540942223
iter=22825 n_episodes=122 episode_len=705 total_reward=243.21920145599952
iter=23153 n_episodes=123 episode_len=328 total_reward=254.68953089176028
iter=23484 n_episodes=124 episode_len=331 total_reward=-335.0218763510337
iter=24484 n_episodes=125 episode_len=1000 total_reward=-63.26132782772835
iter=25095 n_episodes=126 episode_len=611 total_reward=183.27206323310412
iter=26095 n_episodes=127 episode_len=1000 total_reward=-41.23891146679438
iter=26515 n_episodes=128 episode_len=420 total_reward=253.35832890959236
iter=27515 n_episodes=129 episode_len=1000 total_reward=-46.74136279699319
iter=28515 n_episodes=130 episode_len=1000 total_reward=-39.22723111182647
iter=29114 n_episodes=131 episode_len=599 total_reward=242.63964351647581
iter=29679 n_episodes=132 episode_len=565 total_reward=-53.99076729740542
iter=30679 n_episodes=133 episode_len=1000 total_reward=-44.73044561433035
iter=31005 n_episodes=134 episode_len=326 total_reward=249.46738619971427
iter=31498 n_episodes=135 episode_len=493 total_reward=253.77396265364172
iter=32213 n_episodes=136 episode_len=715 total_reward=186.32289753986868
iter=33213 n_episodes=137 episode_len=1000 total_reward=-44.120026736949875
iter=34213 n_episodes=138 episode_len=1000 total_reward=-26.38349035089773
iter=34759 n_episodes=139 episode_len=546 total_reward=-176.27275410588067
iter=35759 n_episodes=140 episode_len=1000 total_reward=-18.753903422272952
iter=36200 n_episodes=141 episode_len=441 total_reward=186.0286234517866
iter=36625 n_episodes=142 episode_len=425 total_reward=-253.66901771345152
iter=37625 n_episodes=143 episode_len=1000 total_reward=-20.724546642962938
iter=37899 n_episodes=144 episode_len=274 total_reward=282.692738332928
iter=38852 n_episodes=145 episode_len=953 total_reward=-115.0344651317844
iter=39203 n_episodes=146 episode_len=351 total_reward=214.132018925794
iter=39544 n_episodes=147 episode_len=341 total_reward=262.5229338515661
iter=40132 n_episodes=148 episode_len=588 total_reward=209.61893630297072
iter=41016 n_episodes=149 episode_len=884 total_reward=163.29074299206326
iter=41329 n_episodes=150 episode_len=313 total_reward=247.89509277529385
iter=41547 n_episodes=151 episode_len=218 total_reward=232.15176637780206
iter=41919 n_episodes=152 episode_len=372 total_reward=244.9267596907904
iter=42919 n_episodes=153 episode_len=1000 total_reward=-4.2300085622667565
iter=43290 n_episodes=154 episode_len=371 total_reward=235.77741577069173
iter=43622 n_episodes=155 episode_len=332 total_reward=244.3068161692866
iter=44484 n_episodes=156 episode_len=862 total_reward=163.731712401972
iter=44775 n_episodes=157 episode_len=291 total_reward=265.21439597962365
iter=45509 n_episodes=158 episode_len=734 total_reward=214.5008982954456
