iter=23 n_episodes=481 episode_len=36 total_reward=8.850259156121055
iter=51 n_episodes=482 episode_len=28 total_reward=-3.6034736119589663
iter=93 n_episodes=483 episode_len=42 total_reward=21.6540522155847
iter=184 n_episodes=484 episode_len=91 total_reward=28.679641660632008
iter=326 n_episodes=485 episode_len=142 total_reward=-0.2925946902480807
iter=445 n_episodes=486 episode_len=119 total_reward=3.4672379824231117
iter=538 n_episodes=487 episode_len=93 total_reward=-30.23390943226381
iter=691 n_episodes=488 episode_len=153 total_reward=-14.485963067528246
iter=945 n_episodes=489 episode_len=254 total_reward=315.9036443105888
iter=1072 n_episodes=490 episode_len=127 total_reward=216.6459168773424
iter=1421 n_episodes=491 episode_len=349 total_reward=203.66587936447203
iter=1734 n_episodes=492 episode_len=313 total_reward=415.82026273275244
iter=2320 n_episodes=493 episode_len=586 total_reward=674.6345025078423
iter=2855 n_episodes=494 episode_len=535 total_reward=296.20583012104356
iter=3505 n_episodes=495 episode_len=650 total_reward=591.786765090912
iter=3642 n_episodes=496 episode_len=137 total_reward=36.86702402815799
iter=3757 n_episodes=497 episode_len=115 total_reward=166.03078790242407
iter=3915 n_episodes=498 episode_len=158 total_reward=239.0178173209578
iter=4419 n_episodes=499 episode_len=504 total_reward=605.1051069691373
iter=4491 n_episodes=500 episode_len=72 total_reward=125.42257877804623
iter=4798 n_episodes=501 episode_len=307 total_reward=315.9901142182575
iter=5540 n_episodes=502 episode_len=742 total_reward=533.1694449099836
iter=5709 n_episodes=503 episode_len=169 total_reward=274.43260149447457
iter=6127 n_episodes=504 episode_len=418 total_reward=495.7251102867744
iter=6448 n_episodes=505 episode_len=321 total_reward=410.0141365375644
iter=6981 n_episodes=506 episode_len=533 total_reward=397.6071439979274
iter=7078 n_episodes=507 episode_len=97 total_reward=46.87693529664791
iter=7296 n_episodes=508 episode_len=218 total_reward=95.3823040765847
iter=7422 n_episodes=509 episode_len=126 total_reward=212.44227688513928
iter=7597 n_episodes=510 episode_len=175 total_reward=306.2453845772049
iter=7816 n_episodes=511 episode_len=219 total_reward=335.2252706232409
iter=7915 n_episodes=512 episode_len=99 total_reward=159.70271595987788
iter=8077 n_episodes=513 episode_len=162 total_reward=261.5831643506712
iter=8273 n_episodes=514 episode_len=196 total_reward=334.5859887768095
