iter=24 n_episodes=483 episode_len=27 total_reward=-2.219974793779362
iter=60 n_episodes=484 episode_len=36 total_reward=-2.0097720414772295
iter=135 n_episodes=485 episode_len=75 total_reward=-31.41549257269877
iter=203 n_episodes=486 episode_len=68 total_reward=-16.0428837511632
iter=297 n_episodes=487 episode_len=94 total_reward=-50.620327018802044
iter=391 n_episodes=488 episode_len=94 total_reward=-49.36188552467874
iter=488 n_episodes=489 episode_len=97 total_reward=-32.30569535470005
iter=575 n_episodes=490 episode_len=87 total_reward=-40.09042345905355
iter=659 n_episodes=491 episode_len=84 total_reward=-31.660713593552305
iter=766 n_episodes=492 episode_len=107 total_reward=-31.411368126656665
iter=927 n_episodes=493 episode_len=161 total_reward=266.883987981375
iter=1205 n_episodes=494 episode_len=278 total_reward=385.93086504528054
iter=1413 n_episodes=495 episode_len=208 total_reward=329.40385879062814
iter=1613 n_episodes=496 episode_len=200 total_reward=285.5051103450327
iter=1869 n_episodes=497 episode_len=256 total_reward=370.4516484744916
iter=2068 n_episodes=498 episode_len=199 total_reward=284.8789506426059
iter=2244 n_episodes=499 episode_len=176 total_reward=286.4531494990082
iter=2541 n_episodes=500 episode_len=297 total_reward=115.64202678417236
iter=2685 n_episodes=501 episode_len=144 total_reward=33.46258048136193
iter=2878 n_episodes=502 episode_len=193 total_reward=321.9841109770571
iter=3055 n_episodes=503 episode_len=177 total_reward=285.0682229457651
iter=3489 n_episodes=504 episode_len=434 total_reward=560.4711180312199
iter=3686 n_episodes=505 episode_len=197 total_reward=289.7603105722178
iter=4090 n_episodes=506 episode_len=404 total_reward=496.3635081393583
iter=4245 n_episodes=507 episode_len=155 total_reward=265.9712549258102
iter=4449 n_episodes=508 episode_len=204 total_reward=115.46853061826559
iter=4810 n_episodes=509 episode_len=361 total_reward=202.95274324009478
iter=5211 n_episodes=510 episode_len=401 total_reward=447.4320243685698
iter=5320 n_episodes=511 episode_len=109 total_reward=201.7063419244981
iter=6320 n_episodes=512 episode_len=1000 total_reward=925.3439545939306
iter=6545 n_episodes=513 episode_len=225 total_reward=332.5937430947772
iter=6727 n_episodes=514 episode_len=182 total_reward=341.86123150427187
iter=6885 n_episodes=515 episode_len=158 total_reward=249.0864020565178
iter=6977 n_episodes=516 episode_len=92 total_reward=175.50367038039525
iter=7170 n_episodes=517 episode_len=193 total_reward=315.87004867043083
iter=7657 n_episodes=518 episode_len=487 total_reward=521.6473936519087
iter=7880 n_episodes=519 episode_len=223 total_reward=358.4400276983685
iter=8167 n_episodes=520 episode_len=287 total_reward=388.04099027236396
iter=8305 n_episodes=521 episode_len=138 total_reward=237.15568344002065
iter=8434 n_episodes=522 episode_len=129 total_reward=196.85176817215284
iter=8564 n_episodes=523 episode_len=130 total_reward=196.22185629118133
iter=8803 n_episodes=524 episode_len=239 total_reward=284.08587956186017
iter=8969 n_episodes=525 episode_len=166 total_reward=217.62916007081398
iter=9202 n_episodes=526 episode_len=233 total_reward=311.76070232340777
iter=9327 n_episodes=527 episode_len=125 total_reward=187.99617017703977
iter=9497 n_episodes=528 episode_len=170 total_reward=212.6573108532155
iter=9846 n_episodes=529 episode_len=349 total_reward=390.60691730249994
iter=10071 n_episodes=530 episode_len=225 total_reward=355.59199159634727
iter=10299 n_episodes=531 episode_len=228 total_reward=149.40969393748588
iter=10446 n_episodes=532 episode_len=147 total_reward=294.95289831182106
iter=10603 n_episodes=533 episode_len=157 total_reward=303.81318216899797
iter=10820 n_episodes=534 episode_len=217 total_reward=352.9455921323483
iter=11018 n_episodes=535 episode_len=198 total_reward=303.19622150258203
iter=11513 n_episodes=536 episode_len=495 total_reward=640.3174618615291
iter=11705 n_episodes=537 episode_len=192 total_reward=316.24699357152775
iter=11843 n_episodes=538 episode_len=138 total_reward=246.86157054584288
