iter=419 n_episodes=77 episode_len=468 total_reward=-38.31992384449469
iter=548 n_episodes=78 episode_len=129 total_reward=21.126950612699584
iter=1548 n_episodes=79 episode_len=1000 total_reward=794.5728274594503
iter=2548 n_episodes=80 episode_len=1000 total_reward=782.1373559314644
iter=3548 n_episodes=81 episode_len=1000 total_reward=818.1611716746173
iter=4548 n_episodes=82 episode_len=1000 total_reward=815.991564814587
iter=5548 n_episodes=83 episode_len=1000 total_reward=834.2011425210936
iter=6548 n_episodes=84 episode_len=1000 total_reward=760.3291769634976
iter=7548 n_episodes=85 episode_len=1000 total_reward=782.9996827947507
iter=8548 n_episodes=86 episode_len=1000 total_reward=683.1211594004955
iter=9548 n_episodes=87 episode_len=1000 total_reward=686.9388524944088
iter=10548 n_episodes=88 episode_len=1000 total_reward=405.54437585653534
iter=10604 n_episodes=89 episode_len=56 total_reward=17.60354838150627
iter=11604 n_episodes=90 episode_len=1000 total_reward=578.7451869050252
iter=12604 n_episodes=91 episode_len=1000 total_reward=355.42708225701426
iter=12729 n_episodes=92 episode_len=125 total_reward=85.10894454857353
iter=13729 n_episodes=93 episode_len=1000 total_reward=389.16455345896895
iter=14729 n_episodes=94 episode_len=1000 total_reward=359.92650471915886
iter=15729 n_episodes=95 episode_len=1000 total_reward=182.91930363128617
iter=16729 n_episodes=96 episode_len=1000 total_reward=416.29664203557303
iter=17364 n_episodes=97 episode_len=635 total_reward=420.7000263109495
iter=18364 n_episodes=98 episode_len=1000 total_reward=426.72946803734317
iter=19364 n_episodes=99 episode_len=1000 total_reward=437.1118529691547
iter=19790 n_episodes=100 episode_len=426 total_reward=250.75182038739462
iter=20790 n_episodes=101 episode_len=1000 total_reward=482.9785018530495
iter=20993 n_episodes=102 episode_len=203 total_reward=104.45778752223839
iter=21822 n_episodes=103 episode_len=829 total_reward=588.957554876525
iter=22535 n_episodes=104 episode_len=713 total_reward=414.6794175361763
iter=22906 n_episodes=105 episode_len=371 total_reward=264.79816429733387
iter=23165 n_episodes=106 episode_len=259 total_reward=207.80885644941944
iter=24165 n_episodes=107 episode_len=1000 total_reward=735.4295741386776
iter=25165 n_episodes=108 episode_len=1000 total_reward=743.8790296461309
iter=26165 n_episodes=109 episode_len=1000 total_reward=775.7988334529541
iter=27153 n_episodes=110 episode_len=988 total_reward=693.0122633685296
iter=28153 n_episodes=111 episode_len=1000 total_reward=797.8025130180187
iter=28513 n_episodes=112 episode_len=360 total_reward=253.86181970734518
iter=29513 n_episodes=113 episode_len=1000 total_reward=806.3404191333452
iter=30513 n_episodes=114 episode_len=1000 total_reward=792.7292400040715
iter=31513 n_episodes=115 episode_len=1000 total_reward=830.3481643647943
