iter=2 n_episodes=47 episode_len=8 total_reward=5.213698772717762
iter=23 n_episodes=48 episode_len=21 total_reward=11.991175500212702
iter=43 n_episodes=49 episode_len=20 total_reward=0.7159124670812256
iter=62 n_episodes=50 episode_len=19 total_reward=-0.8844413009985791
iter=81 n_episodes=51 episode_len=19 total_reward=-0.27902316948184924
iter=100 n_episodes=52 episode_len=19 total_reward=-0.10277537849458596
iter=120 n_episodes=53 episode_len=20 total_reward=-0.034418545818132085
iter=173 n_episodes=54 episode_len=53 total_reward=55.99091110970969
iter=196 n_episodes=55 episode_len=23 total_reward=40.01908667463743
iter=218 n_episodes=56 episode_len=22 total_reward=38.40165815114034
iter=240 n_episodes=57 episode_len=22 total_reward=38.32200510929944
iter=262 n_episodes=58 episode_len=22 total_reward=38.78880201311743
iter=285 n_episodes=59 episode_len=23 total_reward=40.338615771442726
iter=308 n_episodes=60 episode_len=23 total_reward=40.02604854051958
iter=330 n_episodes=61 episode_len=22 total_reward=38.72508732875719
iter=353 n_episodes=62 episode_len=23 total_reward=39.94911880091278
iter=376 n_episodes=63 episode_len=23 total_reward=39.87936174983918
iter=398 n_episodes=64 episode_len=22 total_reward=38.94472801928928
iter=420 n_episodes=65 episode_len=22 total_reward=38.110033125409494
iter=443 n_episodes=66 episode_len=23 total_reward=40.237215463585805
iter=466 n_episodes=67 episode_len=23 total_reward=40.01489509096173
iter=489 n_episodes=68 episode_len=23 total_reward=39.91824141724542
iter=511 n_episodes=69 episode_len=22 total_reward=38.54512728820655
iter=533 n_episodes=70 episode_len=22 total_reward=38.520720903106955
iter=555 n_episodes=71 episode_len=22 total_reward=38.42765949747744
iter=578 n_episodes=72 episode_len=23 total_reward=40.44883101841515
iter=601 n_episodes=73 episode_len=23 total_reward=39.818896265085996
iter=623 n_episodes=74 episode_len=22 total_reward=38.334543367443345
iter=645 n_episodes=75 episode_len=22 total_reward=38.44790618091753
iter=667 n_episodes=76 episode_len=22 total_reward=38.77792388469537
iter=689 n_episodes=77 episode_len=22 total_reward=38.70627831263163
iter=711 n_episodes=78 episode_len=22 total_reward=38.373467296094844
iter=797 n_episodes=79 episode_len=86 total_reward=172.54082295181612
iter=883 n_episodes=80 episode_len=86 total_reward=170.84245304608478
iter=970 n_episodes=81 episode_len=87 total_reward=168.7131308528797
iter=1042 n_episodes=82 episode_len=72 total_reward=129.14703751315474
iter=1106 n_episodes=83 episode_len=64 total_reward=113.27606001578467
iter=1189 n_episodes=84 episode_len=83 total_reward=156.39886875834992
iter=1275 n_episodes=85 episode_len=86 total_reward=162.5951036898744
iter=1361 n_episodes=86 episode_len=86 total_reward=164.3917856271699
iter=1447 n_episodes=87 episode_len=86 total_reward=165.48638204788574
iter=1494 n_episodes=88 episode_len=47 total_reward=83.57138371774849
iter=1537 n_episodes=89 episode_len=43 total_reward=72.16873427846994
iter=1586 n_episodes=90 episode_len=49 total_reward=88.15452165396235
iter=1672 n_episodes=91 episode_len=86 total_reward=179.36951098420317
iter=1720 n_episodes=92 episode_len=48 total_reward=87.75989309637082
iter=1768 n_episodes=93 episode_len=48 total_reward=88.5658042182074
iter=1813 n_episodes=94 episode_len=45 total_reward=81.38632991989432
iter=1859 n_episodes=95 episode_len=46 total_reward=84.04575225606153
iter=1905 n_episodes=96 episode_len=46 total_reward=83.88141979617474
iter=1950 n_episodes=97 episode_len=45 total_reward=80.83193810749968
iter=1993 n_episodes=98 episode_len=43 total_reward=78.95608996451067
iter=2032 n_episodes=99 episode_len=39 total_reward=69.19760694388637
iter=2071 n_episodes=100 episode_len=39 total_reward=71.48520316427154
iter=2110 n_episodes=101 episode_len=39 total_reward=71.25139065367058
iter=2148 n_episodes=102 episode_len=38 total_reward=70.04548797797278
iter=2185 n_episodes=103 episode_len=37 total_reward=67.02825256709271
iter=2270 n_episodes=104 episode_len=85 total_reward=171.4373470000249
iter=2304 n_episodes=105 episode_len=34 total_reward=60.9180656296894
iter=2389 n_episodes=106 episode_len=85 total_reward=169.949099366663
iter=2475 n_episodes=107 episode_len=86 total_reward=169.24936100271591
iter=2560 n_episodes=108 episode_len=85 total_reward=170.0088806474549
iter=2646 n_episodes=109 episode_len=86 total_reward=168.8931760872098
iter=2731 n_episodes=110 episode_len=85 total_reward=166.24343147400145
iter=2816 n_episodes=111 episode_len=85 total_reward=164.99902077324649
iter=2901 n_episodes=112 episode_len=85 total_reward=165.2682291182377
iter=2987 n_episodes=113 episode_len=86 total_reward=169.38994992656086
iter=3071 n_episodes=114 episode_len=84 total_reward=167.08463965839152
iter=3156 n_episodes=115 episode_len=85 total_reward=169.84491507238312
iter=3241 n_episodes=116 episode_len=85 total_reward=166.62803923101717
iter=3325 n_episodes=117 episode_len=84 total_reward=165.89885856295138
iter=3410 n_episodes=118 episode_len=85 total_reward=168.46889406328177
iter=3493 n_episodes=119 episode_len=83 total_reward=175.65684797913897
iter=3576 n_episodes=120 episode_len=83 total_reward=172.00175759863887
iter=3665 n_episodes=121 episode_len=89 total_reward=195.7687932436958
iter=3730 n_episodes=122 episode_len=65 total_reward=121.46111720600773
iter=3800 n_episodes=123 episode_len=70 total_reward=140.66363787489522
iter=3866 n_episodes=124 episode_len=66 total_reward=128.137527245068
iter=3933 n_episodes=125 episode_len=67 total_reward=130.7037358075126
iter=4020 n_episodes=126 episode_len=87 total_reward=192.72486935267798
iter=4089 n_episodes=127 episode_len=69 total_reward=136.99214379449083
iter=4173 n_episodes=128 episode_len=84 total_reward=182.4307805668883
iter=4235 n_episodes=129 episode_len=62 total_reward=116.56112345503256
iter=4319 n_episodes=130 episode_len=84 total_reward=182.7959564158342
iter=4382 n_episodes=131 episode_len=63 total_reward=119.30664592224021
iter=4448 n_episodes=132 episode_len=66 total_reward=129.518002846241
iter=4509 n_episodes=133 episode_len=61 total_reward=114.60503537137058
iter=4571 n_episodes=134 episode_len=62 total_reward=118.36859992084413
iter=4633 n_episodes=135 episode_len=62 total_reward=116.60054332013024
iter=4697 n_episodes=136 episode_len=64 total_reward=122.45019219781689
iter=4752 n_episodes=137 episode_len=55 total_reward=97.65190972585593
iter=4819 n_episodes=138 episode_len=67 total_reward=132.73223237260532
iter=4903 n_episodes=139 episode_len=84 total_reward=185.4123091389042
iter=4990 n_episodes=140 episode_len=87 total_reward=192.95638392069316
iter=5076 n_episodes=141 episode_len=86 total_reward=190.06151461368378
iter=5140 n_episodes=142 episode_len=64 total_reward=122.52543698888215
iter=5209 n_episodes=143 episode_len=69 total_reward=137.99987763980266
iter=5264 n_episodes=144 episode_len=55 total_reward=95.18830378973857
iter=5350 n_episodes=145 episode_len=86 total_reward=189.75298826907377
iter=5409 n_episodes=146 episode_len=59 total_reward=107.93223391699955
iter=5473 n_episodes=147 episode_len=64 total_reward=121.03819779084638
iter=5561 n_episodes=148 episode_len=88 total_reward=195.49755859009665
iter=5646 n_episodes=149 episode_len=85 total_reward=187.40466229871413
iter=5731 n_episodes=150 episode_len=85 total_reward=187.8359615868861
iter=5816 n_episodes=151 episode_len=85 total_reward=187.44563532308982
iter=5900 n_episodes=152 episode_len=84 total_reward=184.5665239070395
iter=5991 n_episodes=153 episode_len=91 total_reward=203.15841347918018
iter=6081 n_episodes=154 episode_len=90 total_reward=201.4855659875874
iter=6170 n_episodes=155 episode_len=89 total_reward=198.7741466852374
iter=6262 n_episodes=156 episode_len=92 total_reward=205.43915659808602
iter=6351 n_episodes=157 episode_len=89 total_reward=197.8211290257369
iter=6441 n_episodes=158 episode_len=90 total_reward=196.7631549387375
iter=6534 n_episodes=159 episode_len=93 total_reward=211.13034668940696
iter=6626 n_episodes=160 episode_len=92 total_reward=208.487067336685
iter=6714 n_episodes=161 episode_len=88 total_reward=191.42051888571993
iter=6803 n_episodes=162 episode_len=89 total_reward=199.62833527150534
iter=6887 n_episodes=163 episode_len=84 total_reward=178.96444418716965
iter=6978 n_episodes=164 episode_len=91 total_reward=193.6452085652407
iter=7067 n_episodes=165 episode_len=89 total_reward=198.73963352326692
iter=7162 n_episodes=166 episode_len=95 total_reward=214.45040287716435
iter=7251 n_episodes=167 episode_len=89 total_reward=197.9237439538161
iter=7340 n_episodes=168 episode_len=89 total_reward=198.37328977144492
iter=7428 n_episodes=169 episode_len=88 total_reward=194.30324142935626
iter=7516 n_episodes=170 episode_len=88 total_reward=195.08409529252674
iter=7603 n_episodes=171 episode_len=87 total_reward=190.55927333836368
iter=7686 n_episodes=172 episode_len=83 total_reward=177.08949377162816
iter=7771 n_episodes=173 episode_len=85 total_reward=185.08006625578767
iter=7856 n_episodes=174 episode_len=85 total_reward=172.720910019618
iter=7940 n_episodes=175 episode_len=84 total_reward=178.8315556312856
iter=8026 n_episodes=176 episode_len=86 total_reward=175.01165862501307
iter=8111 n_episodes=177 episode_len=85 total_reward=165.24732004728182
iter=8197 n_episodes=178 episode_len=86 total_reward=171.3072873392799
iter=8284 n_episodes=179 episode_len=87 total_reward=174.4329818282375
iter=8371 n_episodes=180 episode_len=87 total_reward=173.81100304027817
iter=8457 n_episodes=181 episode_len=86 total_reward=168.0817994170526
iter=8544 n_episodes=182 episode_len=87 total_reward=170.59504647891362
iter=8630 n_episodes=183 episode_len=86 total_reward=167.94479524850155
iter=8716 n_episodes=184 episode_len=86 total_reward=173.07618434845693
iter=8801 n_episodes=185 episode_len=85 total_reward=165.22459276712453
iter=8887 n_episodes=186 episode_len=86 total_reward=170.9744904775452
iter=8973 n_episodes=187 episode_len=86 total_reward=169.67826209583262
iter=9059 n_episodes=188 episode_len=86 total_reward=170.3958932276232
iter=9146 n_episodes=189 episode_len=87 total_reward=170.17970567114202
iter=9233 n_episodes=190 episode_len=87 total_reward=172.22033682238032
iter=9318 n_episodes=191 episode_len=85 total_reward=168.52922120944936
iter=9405 n_episodes=192 episode_len=87 total_reward=172.4547669829277
iter=9491 n_episodes=193 episode_len=86 total_reward=168.50431616051014
iter=9577 n_episodes=194 episode_len=86 total_reward=171.17813183536532
iter=9662 n_episodes=195 episode_len=85 total_reward=166.40989169984059
iter=9748 n_episodes=196 episode_len=86 total_reward=167.56237921509629
iter=9835 n_episodes=197 episode_len=87 total_reward=170.9052120863499
iter=9921 n_episodes=198 episode_len=86 total_reward=168.24105052779404
iter=10007 n_episodes=199 episode_len=86 total_reward=169.30676879436675
iter=10093 n_episodes=200 episode_len=86 total_reward=166.85977752487557
iter=10179 n_episodes=201 episode_len=86 total_reward=167.6339494893662
iter=10265 n_episodes=202 episode_len=86 total_reward=167.23515004200004
iter=10351 n_episodes=203 episode_len=86 total_reward=167.74134269447353
iter=10437 n_episodes=204 episode_len=86 total_reward=168.8025966367802
iter=10524 n_episodes=205 episode_len=87 total_reward=173.2177879269521
iter=10610 n_episodes=206 episode_len=86 total_reward=168.09817522195564
iter=10696 n_episodes=207 episode_len=86 total_reward=166.99695461843683
iter=10782 n_episodes=208 episode_len=86 total_reward=171.57789857478247
iter=10869 n_episodes=209 episode_len=87 total_reward=171.3543773948481
iter=10955 n_episodes=210 episode_len=86 total_reward=167.71339285411634
iter=11042 n_episodes=211 episode_len=87 total_reward=170.7311107412928
iter=11128 n_episodes=212 episode_len=86 total_reward=168.07940536358245
iter=11214 n_episodes=213 episode_len=86 total_reward=169.75174489860032
iter=11300 n_episodes=214 episode_len=86 total_reward=168.5753052918723
iter=11387 n_episodes=215 episode_len=87 total_reward=171.7561820921264
iter=11473 n_episodes=216 episode_len=86 total_reward=169.70974786744594
iter=11559 n_episodes=217 episode_len=86 total_reward=168.7317898309328
iter=11645 n_episodes=218 episode_len=86 total_reward=174.00178050253263
iter=11731 n_episodes=219 episode_len=86 total_reward=168.07338904417566
iter=11817 n_episodes=220 episode_len=86 total_reward=169.2911546949149
iter=11904 n_episodes=221 episode_len=87 total_reward=171.33806734015147
iter=11991 n_episodes=222 episode_len=87 total_reward=169.2619695209274
iter=12040 n_episodes=223 episode_len=49 total_reward=90.77513551401339
iter=12091 n_episodes=224 episode_len=51 total_reward=94.6135340639283
iter=12143 n_episodes=225 episode_len=52 total_reward=95.04751940181879
iter=12195 n_episodes=226 episode_len=52 total_reward=94.70734832013555
iter=12244 n_episodes=227 episode_len=49 total_reward=90.21694814121369
iter=12294 n_episodes=228 episode_len=50 total_reward=92.29624740767632
iter=12344 n_episodes=229 episode_len=50 total_reward=93.32659483127716
iter=12394 n_episodes=230 episode_len=50 total_reward=91.46758566889724
iter=12441 n_episodes=231 episode_len=47 total_reward=85.83503726318187
iter=12491 n_episodes=232 episode_len=50 total_reward=91.39611193225764
iter=12536 n_episodes=233 episode_len=45 total_reward=83.72761524696709
iter=12582 n_episodes=234 episode_len=46 total_reward=84.96716573005503
iter=12629 n_episodes=235 episode_len=47 total_reward=86.66429444881759
iter=12715 n_episodes=236 episode_len=86 total_reward=170.1130572515464
iter=12800 n_episodes=237 episode_len=85 total_reward=169.502300858195
iter=12845 n_episodes=238 episode_len=45 total_reward=82.86794862634872
iter=12931 n_episodes=239 episode_len=86 total_reward=170.79548974807378
iter=12978 n_episodes=240 episode_len=47 total_reward=87.01731046802433
iter=13026 n_episodes=241 episode_len=48 total_reward=88.78483375029742
iter=13112 n_episodes=242 episode_len=86 total_reward=170.28646115743453
iter=13197 n_episodes=243 episode_len=85 total_reward=172.84538344265587
iter=13283 n_episodes=244 episode_len=86 total_reward=169.90171495532067
iter=13370 n_episodes=245 episode_len=87 total_reward=171.7402205532748
iter=13457 n_episodes=246 episode_len=87 total_reward=171.02779404033643
iter=13543 n_episodes=247 episode_len=86 total_reward=172.70417993240522
iter=13629 n_episodes=248 episode_len=86 total_reward=169.03255492272308
iter=13716 n_episodes=249 episode_len=87 total_reward=170.4537523638273
iter=13803 n_episodes=250 episode_len=87 total_reward=170.8696855414547
iter=13889 n_episodes=251 episode_len=86 total_reward=172.01686694172292
iter=13975 n_episodes=252 episode_len=86 total_reward=168.72810862825503
iter=14062 n_episodes=253 episode_len=87 total_reward=172.04906130352882
iter=14146 n_episodes=254 episode_len=84 total_reward=164.70058436170805
iter=14233 n_episodes=255 episode_len=87 total_reward=174.8914716209677
iter=14320 n_episodes=256 episode_len=87 total_reward=171.1988732206652
iter=14406 n_episodes=257 episode_len=86 total_reward=169.25471918742406
iter=14492 n_episodes=258 episode_len=86 total_reward=172.30453407907063
iter=14579 n_episodes=259 episode_len=87 total_reward=173.07681119970266
iter=14664 n_episodes=260 episode_len=85 total_reward=172.2184243519615
iter=14750 n_episodes=261 episode_len=86 total_reward=175.2673467043741
iter=14837 n_episodes=262 episode_len=87 total_reward=172.92415832306355
iter=14923 n_episodes=263 episode_len=86 total_reward=172.51661435194563
iter=14977 n_episodes=264 episode_len=54 total_reward=99.63814036997921
iter=15032 n_episodes=265 episode_len=55 total_reward=101.40292403706516
iter=15087 n_episodes=266 episode_len=55 total_reward=101.42760553462684
iter=15146 n_episodes=267 episode_len=59 total_reward=109.2512512142782
iter=15202 n_episodes=268 episode_len=56 total_reward=102.84470522565593
iter=15259 n_episodes=269 episode_len=57 total_reward=104.12690887633559
iter=15316 n_episodes=270 episode_len=57 total_reward=102.71647724075444
iter=15373 n_episodes=271 episode_len=57 total_reward=106.19424388212917
iter=15429 n_episodes=272 episode_len=56 total_reward=102.59185783711268
iter=15487 n_episodes=273 episode_len=58 total_reward=107.70373616366048
iter=15545 n_episodes=274 episode_len=58 total_reward=105.94769233748012
iter=15604 n_episodes=275 episode_len=59 total_reward=107.94200645252472
iter=15663 n_episodes=276 episode_len=59 total_reward=107.88388806460327
iter=15722 n_episodes=277 episode_len=59 total_reward=108.24451180717188
iter=15781 n_episodes=278 episode_len=59 total_reward=108.01509550219359
iter=15840 n_episodes=279 episode_len=59 total_reward=107.89642319636079
iter=15901 n_episodes=280 episode_len=61 total_reward=111.86311189033276
iter=15961 n_episodes=281 episode_len=60 total_reward=111.50540948613016
iter=16023 n_episodes=282 episode_len=62 total_reward=113.85711081950664
iter=16085 n_episodes=283 episode_len=62 total_reward=114.66779447906409
iter=16147 n_episodes=284 episode_len=62 total_reward=114.23083167178504
iter=16207 n_episodes=285 episode_len=60 total_reward=110.40405721183029
iter=16271 n_episodes=286 episode_len=64 total_reward=117.24954541922062
iter=16331 n_episodes=287 episode_len=60 total_reward=110.03461088406155
iter=16392 n_episodes=288 episode_len=61 total_reward=111.76504579150998
iter=16455 n_episodes=289 episode_len=63 total_reward=113.91551763243463
iter=16516 n_episodes=290 episode_len=61 total_reward=110.73659035372017
iter=16578 n_episodes=291 episode_len=62 total_reward=114.14653145638816
iter=16641 n_episodes=292 episode_len=63 total_reward=114.9899950532135
iter=16705 n_episodes=293 episode_len=64 total_reward=116.92980052440801
iter=16770 n_episodes=294 episode_len=65 total_reward=116.88126982256634
iter=16838 n_episodes=295 episode_len=68 total_reward=123.09998323934651
iter=16905 n_episodes=296 episode_len=67 total_reward=123.06943288298737
iter=16973 n_episodes=297 episode_len=68 total_reward=123.50989109309309
iter=17045 n_episodes=298 episode_len=72 total_reward=131.812051664722
iter=17112 n_episodes=299 episode_len=67 total_reward=121.70995694146595
iter=17200 n_episodes=300 episode_len=88 total_reward=173.6971971275292
iter=17270 n_episodes=301 episode_len=70 total_reward=127.99647976426492
iter=17339 n_episodes=302 episode_len=69 total_reward=124.10834497554768
iter=17427 n_episodes=303 episode_len=88 total_reward=172.01994736344344
iter=17515 n_episodes=304 episode_len=88 total_reward=173.6808451332179
iter=17600 n_episodes=305 episode_len=85 total_reward=167.21513818237955
iter=17692 n_episodes=306 episode_len=92 total_reward=181.02633378564505
iter=17761 n_episodes=307 episode_len=69 total_reward=128.01927526703528
iter=17831 n_episodes=308 episode_len=70 total_reward=128.421592160774
iter=17900 n_episodes=309 episode_len=69 total_reward=126.52054871778257
iter=17968 n_episodes=310 episode_len=68 total_reward=125.51929477312406
iter=18037 n_episodes=311 episode_len=69 total_reward=126.30028540911434
iter=18107 n_episodes=312 episode_len=70 total_reward=130.3313602676287
iter=18175 n_episodes=313 episode_len=68 total_reward=124.77744943218558
iter=18242 n_episodes=314 episode_len=67 total_reward=124.37432495858656
iter=18328 n_episodes=315 episode_len=86 total_reward=170.2651807156701
iter=18396 n_episodes=316 episode_len=68 total_reward=124.53774084311247
iter=18461 n_episodes=317 episode_len=65 total_reward=120.2806407198624
iter=18530 n_episodes=318 episode_len=69 total_reward=127.33178839366242
iter=18616 n_episodes=319 episode_len=86 total_reward=177.43569775843403
iter=18702 n_episodes=320 episode_len=86 total_reward=177.50389074412828
iter=18790 n_episodes=321 episode_len=88 total_reward=176.32318955015555
iter=18877 n_episodes=322 episode_len=87 total_reward=175.7104062683765
iter=18945 n_episodes=323 episode_len=68 total_reward=124.43741749829113
iter=19007 n_episodes=324 episode_len=62 total_reward=115.27841288877258
iter=19094 n_episodes=325 episode_len=87 total_reward=176.83805080639948
