iter=5 n_episodes=408 episode_len=18 total_reward=89.7507164874499
iter=21 n_episodes=409 episode_len=16 total_reward=78.25044851913731
iter=36 n_episodes=410 episode_len=15 total_reward=72.3373044071287
iter=50 n_episodes=411 episode_len=14 total_reward=67.06027073329697
iter=64 n_episodes=412 episode_len=14 total_reward=66.7430518164828
iter=78 n_episodes=413 episode_len=14 total_reward=66.57949526581551
iter=91 n_episodes=414 episode_len=13 total_reward=61.85261130899951
iter=105 n_episodes=415 episode_len=14 total_reward=66.50969483436896
iter=119 n_episodes=416 episode_len=14 total_reward=66.40483405658932
iter=134 n_episodes=417 episode_len=15 total_reward=71.26365948273302
iter=150 n_episodes=418 episode_len=16 total_reward=75.94322562086073
iter=165 n_episodes=419 episode_len=15 total_reward=71.2625208920495
iter=180 n_episodes=420 episode_len=15 total_reward=71.38904805580309
iter=196 n_episodes=421 episode_len=16 total_reward=75.93192129210733
iter=212 n_episodes=422 episode_len=16 total_reward=75.82575547598249
iter=227 n_episodes=423 episode_len=15 total_reward=71.40718489828133
iter=242 n_episodes=424 episode_len=15 total_reward=71.01356951727493
iter=257 n_episodes=425 episode_len=15 total_reward=71.1701820127895
iter=272 n_episodes=426 episode_len=15 total_reward=71.12220241489594
iter=287 n_episodes=427 episode_len=15 total_reward=71.08144990908774
iter=302 n_episodes=428 episode_len=15 total_reward=71.29918811005874
iter=317 n_episodes=429 episode_len=15 total_reward=71.47727239015354
iter=332 n_episodes=430 episode_len=15 total_reward=71.11557712070399
iter=347 n_episodes=431 episode_len=15 total_reward=71.28781306073402
iter=361 n_episodes=432 episode_len=14 total_reward=66.56335306350833
iter=375 n_episodes=433 episode_len=14 total_reward=66.42142121239681
iter=389 n_episodes=434 episode_len=14 total_reward=66.56278601631875
iter=403 n_episodes=435 episode_len=14 total_reward=66.63133774554412
iter=418 n_episodes=436 episode_len=15 total_reward=71.27433700178338
iter=433 n_episodes=437 episode_len=15 total_reward=71.20268271821264
iter=447 n_episodes=438 episode_len=14 total_reward=66.72702379712379
iter=462 n_episodes=439 episode_len=15 total_reward=71.2036252353747
iter=477 n_episodes=440 episode_len=15 total_reward=71.28147467553926
iter=491 n_episodes=441 episode_len=14 total_reward=66.4396328108805
iter=505 n_episodes=442 episode_len=14 total_reward=66.49249717086768
iter=520 n_episodes=443 episode_len=15 total_reward=71.13946388708787
iter=534 n_episodes=444 episode_len=14 total_reward=66.40676742602363
iter=548 n_episodes=445 episode_len=14 total_reward=66.4010327337706
iter=563 n_episodes=446 episode_len=15 total_reward=71.3379060622304
iter=577 n_episodes=447 episode_len=14 total_reward=66.5832495869344
iter=591 n_episodes=448 episode_len=14 total_reward=66.36640116973558
iter=605 n_episodes=449 episode_len=14 total_reward=66.39552769128176
iter=620 n_episodes=450 episode_len=15 total_reward=71.371073034532
iter=635 n_episodes=451 episode_len=15 total_reward=71.11644206552465
iter=649 n_episodes=452 episode_len=14 total_reward=66.31024086907
iter=663 n_episodes=453 episode_len=14 total_reward=66.49204415879356
iter=677 n_episodes=454 episode_len=14 total_reward=66.45728663064533
iter=692 n_episodes=455 episode_len=15 total_reward=71.16930098560529
iter=707 n_episodes=456 episode_len=15 total_reward=71.0594144133058
iter=721 n_episodes=457 episode_len=14 total_reward=66.52486068596592
iter=735 n_episodes=458 episode_len=14 total_reward=66.39846027313779
iter=749 n_episodes=459 episode_len=14 total_reward=66.68211575089198
iter=764 n_episodes=460 episode_len=15 total_reward=71.16682079822077
iter=779 n_episodes=461 episode_len=15 total_reward=71.18161759350092
iter=793 n_episodes=462 episode_len=14 total_reward=66.51529183049648
iter=807 n_episodes=463 episode_len=14 total_reward=66.50003254304343
iter=821 n_episodes=464 episode_len=14 total_reward=66.22604239533652
iter=835 n_episodes=465 episode_len=14 total_reward=66.33686004264426
iter=850 n_episodes=466 episode_len=15 total_reward=71.09447267187053
iter=864 n_episodes=467 episode_len=14 total_reward=66.63886558684301
iter=878 n_episodes=468 episode_len=14 total_reward=66.31202267997266
iter=892 n_episodes=469 episode_len=14 total_reward=66.4075016734326
iter=906 n_episodes=470 episode_len=14 total_reward=66.48221166999842
iter=920 n_episodes=471 episode_len=14 total_reward=66.5143972787919
iter=934 n_episodes=472 episode_len=14 total_reward=66.27460173123387
iter=948 n_episodes=473 episode_len=14 total_reward=66.53046774308281
iter=963 n_episodes=474 episode_len=15 total_reward=71.10410133079377
iter=977 n_episodes=475 episode_len=14 total_reward=66.56994447480014
iter=991 n_episodes=476 episode_len=14 total_reward=66.43393831461589
iter=1005 n_episodes=477 episode_len=14 total_reward=66.35483812276293
iter=1019 n_episodes=478 episode_len=14 total_reward=66.4265608241019
iter=1033 n_episodes=479 episode_len=14 total_reward=66.43797949330559
iter=1047 n_episodes=480 episode_len=14 total_reward=66.37607345940484
iter=1062 n_episodes=481 episode_len=15 total_reward=71.14778720349788
iter=1076 n_episodes=482 episode_len=14 total_reward=66.45233423191335
iter=1091 n_episodes=483 episode_len=15 total_reward=71.16756190268288
iter=1105 n_episodes=484 episode_len=14 total_reward=66.47245186249123
iter=1120 n_episodes=485 episode_len=15 total_reward=71.21820608708471
iter=1134 n_episodes=486 episode_len=14 total_reward=66.3359070469983
iter=1148 n_episodes=487 episode_len=14 total_reward=66.61405310683222
iter=1162 n_episodes=488 episode_len=14 total_reward=66.53910077406807
iter=1176 n_episodes=489 episode_len=14 total_reward=66.43071290639111
iter=1190 n_episodes=490 episode_len=14 total_reward=66.28592035137106
iter=1204 n_episodes=491 episode_len=14 total_reward=66.55873448684922
iter=1218 n_episodes=492 episode_len=14 total_reward=66.65855610335748
iter=1232 n_episodes=493 episode_len=14 total_reward=66.319851177173
iter=1247 n_episodes=494 episode_len=15 total_reward=71.24817197604604
iter=1262 n_episodes=495 episode_len=15 total_reward=71.00424840071115
iter=1277 n_episodes=496 episode_len=15 total_reward=71.46766091184321
iter=1292 n_episodes=497 episode_len=15 total_reward=71.08963759603073
iter=1307 n_episodes=498 episode_len=15 total_reward=71.39403545993794
iter=1322 n_episodes=499 episode_len=15 total_reward=71.23027586396695
iter=1337 n_episodes=500 episode_len=15 total_reward=71.12061058050732
iter=1352 n_episodes=501 episode_len=15 total_reward=71.09592410693048
iter=1367 n_episodes=502 episode_len=15 total_reward=71.33015180295294
iter=1382 n_episodes=503 episode_len=15 total_reward=71.28574188792648
iter=1397 n_episodes=504 episode_len=15 total_reward=71.1617432826824
iter=1412 n_episodes=505 episode_len=15 total_reward=71.38870556857059
iter=1427 n_episodes=506 episode_len=15 total_reward=71.2056309950666
iter=1442 n_episodes=507 episode_len=15 total_reward=71.21469923000836
iter=1457 n_episodes=508 episode_len=15 total_reward=71.35418130741658
iter=1472 n_episodes=509 episode_len=15 total_reward=71.14288579315404
iter=1487 n_episodes=510 episode_len=15 total_reward=71.11301228928892
iter=1502 n_episodes=511 episode_len=15 total_reward=70.98245607512646
iter=1517 n_episodes=512 episode_len=15 total_reward=71.19393903515817
iter=1532 n_episodes=513 episode_len=15 total_reward=71.31924538742376
iter=1547 n_episodes=514 episode_len=15 total_reward=71.15277878225527
iter=1563 n_episodes=515 episode_len=16 total_reward=75.7514014188332
