iter=7 n_episodes=46 episode_len=12 total_reward=1.1031099106584843
iter=16 n_episodes=47 episode_len=9 total_reward=-1.348271520788202
iter=23 n_episodes=48 episode_len=7 total_reward=-2.0189108757992518
iter=31 n_episodes=49 episode_len=8 total_reward=-1.5983208870307166
iter=38 n_episodes=50 episode_len=7 total_reward=-2.1913906555441143
iter=47 n_episodes=51 episode_len=9 total_reward=-0.01978906676461277
iter=210 n_episodes=52 episode_len=163 total_reward=52.059239718411234
iter=401 n_episodes=53 episode_len=191 total_reward=86.88317405708283
iter=517 n_episodes=54 episode_len=116 total_reward=-6.849452434638257
iter=707 n_episodes=55 episode_len=190 total_reward=74.54927827160812
iter=858 n_episodes=56 episode_len=151 total_reward=43.573026807322265
iter=984 n_episodes=57 episode_len=126 total_reward=23.12270941205809
iter=1179 n_episodes=58 episode_len=195 total_reward=82.24069968603392
iter=1372 n_episodes=59 episode_len=193 total_reward=313.43486401252346
iter=1551 n_episodes=60 episode_len=179 total_reward=299.7233488206838
iter=1737 n_episodes=61 episode_len=186 total_reward=305.2923104282034
iter=1899 n_episodes=62 episode_len=162 total_reward=282.1245589886812
iter=2063 n_episodes=63 episode_len=164 total_reward=56.070320090649396
iter=2857 n_episodes=64 episode_len=794 total_reward=943.4488286168813
iter=3124 n_episodes=65 episode_len=267 total_reward=376.61306304252184
iter=3308 n_episodes=66 episode_len=184 total_reward=305.3074466129116
iter=3487 n_episodes=67 episode_len=179 total_reward=298.89529981972714
iter=3719 n_episodes=68 episode_len=232 total_reward=140.03418173166864
iter=3884 n_episodes=69 episode_len=165 total_reward=68.87271362515396
iter=4027 n_episodes=70 episode_len=143 total_reward=10.928323411384886
iter=4101 n_episodes=71 episode_len=74 total_reward=-27.10019666099449
iter=4199 n_episodes=72 episode_len=98 total_reward=-52.887683745325724
iter=4333 n_episodes=73 episode_len=134 total_reward=235.40970713241626
iter=4635 n_episodes=74 episode_len=302 total_reward=421.21508430435483
iter=4813 n_episodes=75 episode_len=178 total_reward=100.49574057116315
iter=5813 n_episodes=76 episode_len=1000 total_reward=993.0313253090802
iter=6013 n_episodes=77 episode_len=200 total_reward=324.04867195982393
iter=6314 n_episodes=78 episode_len=301 total_reward=425.20201129567727
iter=6483 n_episodes=79 episode_len=169 total_reward=271.4030070377073
iter=6642 n_episodes=80 episode_len=159 total_reward=280.7738213793066
iter=6843 n_episodes=81 episode_len=201 total_reward=321.7219776220383
iter=6999 n_episodes=82 episode_len=156 total_reward=72.43433523430929
iter=7272 n_episodes=83 episode_len=273 total_reward=321.0264723622754
iter=7462 n_episodes=84 episode_len=190 total_reward=311.49902787501344
iter=7630 n_episodes=85 episode_len=168 total_reward=291.77101015404594
iter=7840 n_episodes=86 episode_len=210 total_reward=333.51629910180833
iter=8027 n_episodes=87 episode_len=187 total_reward=317.57536950819014
iter=8213 n_episodes=88 episode_len=186 total_reward=303.86256920592166
iter=8322 n_episodes=89 episode_len=109 total_reward=212.9077681136763
iter=8468 n_episodes=90 episode_len=146 total_reward=260.5476222429454
iter=8622 n_episodes=91 episode_len=154 total_reward=276.57044169097696
iter=8734 n_episodes=92 episode_len=112 total_reward=195.35101928630894
iter=9504 n_episodes=93 episode_len=770 total_reward=745.0821677347043
iter=9633 n_episodes=94 episode_len=129 total_reward=235.95936597278538
iter=9747 n_episodes=95 episode_len=114 total_reward=220.83369205308654
iter=9846 n_episodes=96 episode_len=99 total_reward=136.02128468234807
iter=10818 n_episodes=97 episode_len=972 total_reward=917.8912227306749
iter=10963 n_episodes=98 episode_len=145 total_reward=38.5668971516043
iter=11092 n_episodes=99 episode_len=129 total_reward=52.88713399102074
iter=11182 n_episodes=100 episode_len=90 total_reward=176.70935914006188
iter=11280 n_episodes=101 episode_len=98 total_reward=3.694366271369385
iter=11424 n_episodes=102 episode_len=144 total_reward=207.22163518103036
iter=11635 n_episodes=103 episode_len=211 total_reward=331.06442568736037
iter=11753 n_episodes=104 episode_len=118 total_reward=226.93792765854465
iter=11893 n_episodes=105 episode_len=140 total_reward=259.73428729607684
iter=11991 n_episodes=106 episode_len=98 total_reward=199.6206354251133
iter=12135 n_episodes=107 episode_len=144 total_reward=262.76929094283076
iter=12247 n_episodes=108 episode_len=112 total_reward=193.32232212300548
iter=12406 n_episodes=109 episode_len=159 total_reward=281.9536858793033
iter=12482 n_episodes=110 episode_len=76 total_reward=157.70570906978134
