iter=3 n_episodes=47 episode_len=32 total_reward=-1.787305374339633
iter=249 n_episodes=48 episode_len=246 total_reward=127.3515210830165
iter=371 n_episodes=49 episode_len=122 total_reward=21.690184196444054
iter=461 n_episodes=50 episode_len=90 total_reward=-26.138023822576123
iter=535 n_episodes=51 episode_len=74 total_reward=-22.213886848375328
iter=645 n_episodes=52 episode_len=110 total_reward=214.6694339237942
iter=794 n_episodes=53 episode_len=149 total_reward=267.4312268715116
iter=947 n_episodes=54 episode_len=153 total_reward=271.3935199022145
iter=1094 n_episodes=55 episode_len=147 total_reward=264.1172761944905
iter=1212 n_episodes=56 episode_len=118 total_reward=75.7508639217034
iter=1417 n_episodes=57 episode_len=205 total_reward=329.37843179282794
iter=1627 n_episodes=58 episode_len=210 total_reward=331.9415202877395
iter=1786 n_episodes=59 episode_len=159 total_reward=270.6671850158907
iter=1966 n_episodes=60 episode_len=180 total_reward=323.430333144507
iter=2193 n_episodes=61 episode_len=227 total_reward=354.428244285104
iter=2356 n_episodes=62 episode_len=163 total_reward=257.8763530942448
iter=2686 n_episodes=63 episode_len=330 total_reward=440.0073437683522
iter=2884 n_episodes=64 episode_len=198 total_reward=295.88222311213167
iter=3037 n_episodes=65 episode_len=153 total_reward=271.5709552727685
iter=3131 n_episodes=66 episode_len=94 total_reward=-45.56853059494733
iter=3211 n_episodes=67 episode_len=80 total_reward=-8.339528578793146
iter=3319 n_episodes=68 episode_len=108 total_reward=-45.01774765468499
iter=3382 n_episodes=69 episode_len=63 total_reward=-8.66906996493036
iter=3451 n_episodes=70 episode_len=69 total_reward=-18.130195685924306
iter=3523 n_episodes=71 episode_len=72 total_reward=-20.894625356407442
iter=3601 n_episodes=72 episode_len=78 total_reward=-22.882759722301852
iter=3679 n_episodes=73 episode_len=78 total_reward=-16.987168402061315
iter=3829 n_episodes=74 episode_len=150 total_reward=-10.417043067745581
iter=3976 n_episodes=75 episode_len=147 total_reward=246.77583755746167
iter=4102 n_episodes=76 episode_len=126 total_reward=235.4467543076416
iter=4334 n_episodes=77 episode_len=232 total_reward=346.9199170107136
iter=4445 n_episodes=78 episode_len=111 total_reward=220.29005477123707
iter=4546 n_episodes=79 episode_len=101 total_reward=201.54238917462953
iter=4664 n_episodes=80 episode_len=118 total_reward=203.66233558014628
iter=4986 n_episodes=81 episode_len=322 total_reward=437.2768334229867
iter=5106 n_episodes=82 episode_len=120 total_reward=228.05377957120953
iter=5226 n_episodes=83 episode_len=120 total_reward=15.016894689027879
iter=5378 n_episodes=84 episode_len=152 total_reward=257.11162741851206
iter=5527 n_episodes=85 episode_len=149 total_reward=11.892252236951796
